,participant.id,tasktype,reaction_time(s),accuracy
1,3247376,CONJUNCTION,20.73,0.6667
2,3247376,CRT,10.63,0
3,3247376,GAMBLER,9.75,0
4,3247376,SAMPLE_SIZE,22.14,0
5,3247376,catch,1.79,1
6,3247441,CONJUNCTION,24.12,0
7,3247441,CRT,5.58,0
8,3247441,GAMBLER,9.8,0.5
9,3247441,SAMPLE_SIZE,9.04,1
10,3247441,catch,2.1,1
11,3247448,CONJUNCTION,19.83,0
12,3247448,CRT,26.98,0.3333
13,3247448,GAMBLER,13.4,0
14,3247448,SAMPLE_SIZE,19.02,0
15,3247448,catch,2.97,1
16,3250509,CONJUNCTION,8.85,0
17,3250509,CRT,7.47,1
18,3250509,GAMBLER,7.74,1
19,3250509,SAMPLE_SIZE,11.63,0
20,3250509,catch,1.35,1
21,3250513,CONJUNCTION,21.06,0.6667
22,3250513,CRT,19.68,0.6667
23,3250513,GAMBLER,9.53,1
24,3250513,SAMPLE_SIZE,19.22,0
25,3250513,catch,1.76,1
26,3250521,CONJUNCTION,13.75,0
27,3250521,CRT,6.95,0.6667
28,3250521,GAMBLER,6.39,1
29,3250521,SAMPLE_SIZE,8.7,0
30,3250521,catch,1.74,1
31,3250524,CONJUNCTION,9.8,1
32,3250524,CRT,8.05,1
33,3250524,GAMBLER,6.8,1
34,3250524,SAMPLE_SIZE,8.35,0
35,3250524,catch,2.46,1
36,3250530,CONJUNCTION,21.18,1
37,3250530,CRT,35.32,1
38,3250530,GAMBLER,12.89,1
39,3250530,SAMPLE_SIZE,18.39,0
40,3250530,catch,1.74,1
41,3250544,CONJUNCTION,11.47,1
42,3250544,CRT,5.65,0.6667
43,3250544,GAMBLER,8.99,1
44,3250544,SAMPLE_SIZE,9.87,0
45,3250544,catch,2.17,1
46,3250548,CONJUNCTION,12.96,0
47,3250548,CRT,8.13,0.3333
48,3250548,GAMBLER,8.95,1
49,3250548,SAMPLE_SIZE,6.62,0
50,3250548,catch,1.79,1
51,3250553,CONJUNCTION,17.06,0.6667
52,3250553,CRT,13.72,0.3333
53,3250553,GAMBLER,16.84,0
54,3250553,SAMPLE_SIZE,16.68,0
55,3250553,catch,1.76,1
56,3250560,CONJUNCTION,15.11,0
57,3250560,CRT,14.81,0.3333
58,3250560,GAMBLER,15.17,1
59,3250560,SAMPLE_SIZE,15.57,0
60,3250560,catch,2.84,1
61,3250565,CONJUNCTION,23.88,1
62,3250565,CRT,22.12,1
63,3250565,GAMBLER,11.37,1
64,3250565,SAMPLE_SIZE,14.82,0
65,3250565,catch,1.82,1
66,3250569,CONJUNCTION,21.65,0.5
67,3250569,CRT,15.22,0
68,3250569,GAMBLER,16.05,1
69,3250569,SAMPLE_SIZE,15.94,1
70,3250569,catch,1.68,1
71,3250573,CONJUNCTION,13.4,0.6667
72,3250573,CRT,8.54,0
73,3250573,GAMBLER,9.26,1
74,3250573,SAMPLE_SIZE,20.93,0
75,3250573,catch,2.3,1
76,3250580,CONJUNCTION,15.08,0.3333
77,3250580,CRT,16.58,1
78,3250580,GAMBLER,8.55,1
79,3250580,SAMPLE_SIZE,19.88,0
80,3250580,catch,2.09,1
81,3250585,CONJUNCTION,13.91,0
82,3250585,CRT,14.09,1
83,3250585,GAMBLER,7.46,1
84,3250585,SAMPLE_SIZE,22.91,0
85,3250585,catch,1.72,1
86,3250586,CONJUNCTION,20.67,1
87,3250586,CRT,16.62,1
88,3250586,GAMBLER,8.71,1
89,3250586,SAMPLE_SIZE,11.62,0
90,3250586,catch,2.08,1
91,3250594,CONJUNCTION,11.07,1
92,3250594,CRT,7.54,1
93,3250594,GAMBLER,9.58,1
94,3250594,SAMPLE_SIZE,17.58,0
95,3250594,catch,2.38,1
96,3250595,CONJUNCTION,14.75,1
97,3250595,CRT,14.26,1
98,3250595,GAMBLER,9.35,1
99,3250595,SAMPLE_SIZE,12.87,0
100,3250595,catch,1.63,1
101,3250621,CONJUNCTION,16.36,0.3333
102,3250621,CRT,9.49,0
103,3250621,GAMBLER,6.35,1
104,3250621,SAMPLE_SIZE,10.74,0
105,3250621,catch,1.48,1
106,3250699,CONJUNCTION,17.57,0.3333
107,3250699,CRT,9.83,0.6667
108,3250699,GAMBLER,12.56,1
109,3250699,SAMPLE_SIZE,9.25,0
110,3250699,catch,1.49,1
111,3250709,CONJUNCTION,13.93,0
112,3250709,CRT,9.2,0
113,3250709,GAMBLER,12.94,1
114,3250709,SAMPLE_SIZE,22.86,0
115,3250709,catch,1.57,1
116,3250759,CONJUNCTION,8.84,0
117,3250759,CRT,8.92,1
118,3250759,GAMBLER,6.19,1
119,3250759,SAMPLE_SIZE,8.39,0
120,3250759,catch,1.91,1
121,3250790,CONJUNCTION,24.14,1
122,3250790,CRT,26.78,0.3333
123,3250790,GAMBLER,13.89,1
124,3250790,SAMPLE_SIZE,8.53,0
125,3250790,catch,2.95,1
126,3250841,CONJUNCTION,21.86,0
127,3250841,CRT,10.11,0.6667
128,3250841,GAMBLER,12.92,1
129,3250841,SAMPLE_SIZE,15.19,0
130,3250841,catch,2.23,1
131,3250842,CONJUNCTION,24.34,0
132,3250842,CRT,31.4,0.3333
133,3250842,GAMBLER,16.69,1
134,3250842,SAMPLE_SIZE,22.53,0
135,3250842,catch,3.77,1
136,3250859,CONJUNCTION,23.18,1
137,3250859,CRT,19.05,0.3333
138,3250859,GAMBLER,12.87,1
139,3250859,catch,3.65,1
140,3250866,CONJUNCTION,23.88,0.6667
141,3250866,CRT,17.74,0.3333
142,3250866,GAMBLER,8.42,1
143,3250866,SAMPLE_SIZE,14.39,0
144,3250866,catch,1.77,1
145,3250896,CONJUNCTION,6.49,1
146,3250896,CRT,4.39,1
147,3250896,GAMBLER,4.82,1
148,3250896,SAMPLE_SIZE,9.07,0
149,3250896,catch,1.31,1
150,3250901,CONJUNCTION,10.28,0.6667
151,3250901,CRT,6.71,0.6667
152,3250901,GAMBLER,8.52,1
153,3250901,SAMPLE_SIZE,8.78,1
154,3250901,catch,1.62,1
155,3250909,CONJUNCTION,9.31,0.3333
156,3250909,CRT,12.04,1
157,3250909,GAMBLER,3.68,1
158,3250909,SAMPLE_SIZE,7.1,0
159,3250909,catch,1.16,1
160,3250917,CONJUNCTION,23.38,0.3333
161,3250917,CRT,17.35,1
162,3250917,GAMBLER,16.11,1
163,3250917,SAMPLE_SIZE,23.33,0
164,3250917,catch,2.74,1
165,3250924,CONJUNCTION,8.44,0.3333
166,3250924,CRT,13.49,1
167,3250924,GAMBLER,5.24,1
168,3250924,SAMPLE_SIZE,8.6,0
169,3250924,catch,1.53,1
170,3250937,CONJUNCTION,18.76,0.6667
171,3250937,CRT,16.72,0
172,3250937,GAMBLER,8.5,1
173,3250937,SAMPLE_SIZE,11.67,0
174,3250937,catch,2.02,1
