"","participant_ID","type","reaction_time","accuracy","TAscore"
"1","P45","catch",6261.5,1,2.25
"2","P45","GAMBLER",27372.3333333333,1,2.25
"3","P45","CRT",51739,0.333333333333333,2.25
"4","P45","CONJUNCTION",39012.6666666667,0.333333333333333,2.25
"5","P5","catch",4607,1,2.35
"6","P5","CRT",23082.3333333333,1,2.35
"7","P5","CONJUNCTION",26073,1,2.35
"8","P5","GAMBLER",15133,1,2.35
"9","P13","catch",3148.5,1,2.3
"10","P13","GAMBLER",8221.66666666667,1,2.3
"11","P13","CONJUNCTION",20115,1,2.3
"12","P13","CRT",9119.66666666667,1,2.3
"13","P2","catch",4828.75,1,2.45
"14","P2","GAMBLER",16105.3333333333,1,2.45
"15","P2","CONJUNCTION",13800,0.666666666666667,2.45
"16","P2","CRT",9374.33333333333,1,2.45
"17","P38","catch",6902.25,1,2.55
"18","P38","CONJUNCTION",31959,0,2.55
"19","P38","GAMBLER",19919.3333333333,1,2.55
"20","P38","CRT",23446.3333333333,0.333333333333333,2.55
"21","P6","catch",3634.75,1,3.25
"22","P6","CONJUNCTION",28754,0.333333333333333,3.25
"23","P6","CRT",23258.3333333333,1,3.25
"24","P6","GAMBLER",10786.6666666667,1,3.25
"25","P35","catch",3327.25,1,1.65
"26","P35","CONJUNCTION",18192.6666666667,0.666666666666667,1.65
"27","P35","GAMBLER",16266.3333333333,1,1.65
"28","P35","CRT",14461,0.666666666666667,1.65
"29","P16","catch",15282.75,1,3.3
"30","P16","GAMBLER",27863.6666666667,1,3.3
"31","P16","CONJUNCTION",15892,1,3.3
"32","P16","CRT",19866.3333333333,1,3.3
"33","P7","catch",3684,1,2.5
"34","P7","CONJUNCTION",13143.3333333333,0.333333333333333,2.5
"35","P7","GAMBLER",8545,1,2.5
"36","P7","CRT",9762.33333333333,0.666666666666667,2.5
"37","P8","catch",3405.75,1,2.2
"38","P8","CONJUNCTION",19586.6666666667,0.333333333333333,2.2
"39","P8","GAMBLER",11814,1,2.2
"40","P8","CRT",15036.6666666667,0.666666666666667,2.2
"41","P20","catch",4832.5,1,1.7
"42","P20","CRT",15061.6666666667,0.666666666666667,1.7
"43","P20","CONJUNCTION",16068,0,1.7
"44","P20","GAMBLER",13402,1,1.7
"45","P50","catch",5517.25,1,2.15
"46","P50","CONJUNCTION",30142,0.333333333333333,2.15
"47","P50","GAMBLER",24704.3333333333,1,2.15
"48","P50","CRT",25837,1,2.15
"49","P32","catch",9042.75,1,2.25
